 ,Area,X,Y,Slice
1,817.242,321.419,8.682,1
2,75.901,375.023,2.597,1
3,151.401,3193.810,2.759,1
4,241.759,3662.020,2.420,1
5,3469.361,3970.517,45.039,1
6,231.317,4278.552,5.915,1
7,1346.139,4476.198,19.754,1
8,462.635,5311.365,6.478,1
9,308.423,5916.350,5.915,1
10,534.119,654.511,16.929,1
11,1822.428,5674.187,30.127,1
12,620.863,617.506,21.829,1
13,549.379,2429.056,26.935,1
14,740.939,1691.133,31.943,1
15,1230.882,4187.124,37.462,1
16,205.616,1292.142,29.151,1
17,3519.560,3265.690,52.995,1
18,1232.489,583.351,51.118,1
19,416.853,1456.987,43.524,1
20,475.888,115.558,48.016,1
21,642.549,5850.342,50.798,1
22,957.397,1531.968,53.483,1
23,324.487,2062.389,54.581,1
24,1620.829,4916.616,61.214,1
25,461.430,509.051,63.261,1
26,440.547,704.542,70.754,1
27,1156.186,3649.657,76.463,1
28,359.827,2395.168,69.123,1
29,708.410,1262.089,77.025,1
30,926.475,2848.178,81.975,1
31,154.212,3469.371,70.131,1
32,1411.197,4434.243,89.000,1
33,2226.431,5145.654,94.339,1
34,356.614,112.764,78.371,1
35,1053.378,2054.438,89.754,1
36,531.709,937.909,83.655,1
37,242.562,5.729,87.284,1
38,276.296,1336.819,85.898,1
39,451.390,989.735,91.355,1
40,314.849,1567.161,90.537,1
41,1003.982,3539.457,100.248,1
42,293.163,390.725,96.571,1
43,3638.833,5772.570,122.306,1
44,536.528,3338.769,108.149,1
45,181.520,1221.658,106.605,1
46,638.533,569.862,114.391,1
47,630.501,1812.384,120.920,1
48,1297.948,4801.304,129.754,1
49,1602.356,4161.189,133.414,1
50,3538.033,5888.660,144.852,1
51,666.243,1048.538,125.613,1
52,161.842,641.501,120.075,1
53,637.729,1688.555,128.699,1
54,1991.097,5026.028,139.057,1
55,1304.374,6078.431,139.417,1
56,1553.361,3560.973,140.953,1
57,1189.920,659.555,144.103,1
58,217.262,319.161,137.953,1
